,station,model MAE,baseline mean MAE,baseline median MAE,model MSE,baseline mean MSE,baseline median MSE,model MAPE,baseline mean MAPE,baseline median MAPE,model MASE,baseline mean MASE,baseline median MASE,model type
0,Ympyrätalo,2.7666666666666666,9.70635621739862,6.404761904761905,13.395714285714286,108.55007572676595,51.61904761904762,2.0305198059488085,25.072924385920746,18.634913965603655,0.34884683301977093,1.2238668529884114,0.8075714120681444,Gradient Boosting Regressor
1,Yhdyskunnankuja,0.6928571428571428,1.0228902371759514,0.8214285714285714,0.9242857142857145,1.2550709838354623,0.9404761904761905,2.421635711958293,7.800552469742724,5.928425133494257,0.5437003968253968,0.8026847000061286,0.644593253968254,Gradient Boosting Regressor
2,Westendintie,0.23095238095238102,0.8751540616246497,0.13095238095238096,0.23857142857142866,0.8067369429188324,0.20238095238095238,1.0,8.34029376456465,0.08812615955473098,0.24123770965876234,0.9141285340046948,0.13678426836321572,Gradient Boosting Regressor
3,Westendinasema,0.49761904761904757,1.6944970040996536,0.8095238095238095,0.6861904761904762,3.2235525922656914,0.8571428571428571,1.5199692780337943,14.64263185966806,7.067515178114256,0.28928647826850934,0.9850810034261342,0.47060958187221624,Light Gradient Boosting Machine
4,Von Daehnin katu,0.2785714285714287,0.6703026872199804,0.17857142857142858,0.3671428571428572,0.5074671890653878,0.32142857142857145,1.0,5.7407485434061085,0.11046940770443074,0.37767192851238063,0.9087597743516957,0.24209739007203876,Gradient Boosting Regressor
5,Voikukantie,0.5880952380952381,1.3900784626441027,0.7619047619047619,0.8290476190476194,2.267411737450336,0.8809523809523809,2.0471625648089624,11.096448707762429,6.0161352765601395,0.3889535792435136,0.9193680860704159,0.5039074710847139,Gradient Boosting Regressor
6,Vilhonvuorenkatu,1.8119047619047624,5.112624674971863,3.4166666666666665,5.848095238095238,32.07310503928945,15.916666666666666,2.7957201329734302,21.51690488167588,13.101885351347388,0.37736801846316775,1.0648137160983073,0.7115940952623463,Gradient Boosting Regressor
7,Viiskulma,1.5214285714285714,4.392899209153623,3.5714285714285716,4.3671428571428565,23.996612399657742,16.69047619047619,3.353583608163491,16.63979791513995,14.043143844394903,0.38118972077874164,1.1006287474765233,0.8948115511238067,Light Gradient Boosting Machine
8,Viikin tiedepuisto,0.9428571428571427,2.8785971223021587,1.3452380952380953,1.9052380952380954,9.800236326868623,2.4166666666666665,2.2162002964884304,18.776235261547665,9.296395548420353,0.35871591526344376,1.095180334819597,0.5118042730400145,Light Gradient Boosting Machine
9,Viikin normaalikoulu,0.5619047619047619,1.3469611528822056,0.7619047619047619,0.7671428571428572,2.1207569305222607,0.8571428571428571,1.488411791772475,11.006863781519893,6.246550023103918,0.37398173602553164,0.8964844302195436,0.5070938793566531,Light Gradient Boosting Machine
10,Vihdintie,1.0142857142857142,2.4648387472348348,2.0238095238095237,2.0004761904761907,7.240761641873765,4.976190476190476,2.735856672497576,14.794986071800224,12.347178339184898,0.4098313896387257,0.9959405666341403,0.8177386882462836,Gradient Boosting Regressor
11,Vesakkotie,0.5023809523809524,0.9056148559730952,0.7380952380952381,0.6480952380952381,1.0082468925462063,0.7380952380952381,1.4956709956709957,7.943412779646143,6.587301587301588,0.42642137146829534,0.7686866452159535,0.6264958538159789,Gradient Boosting Regressor
12,Verkatehtaanpuisto,1.1404761904761906,3.8754026467962888,2.2023809523809526,2.9814285714285718,16.406223736687526,5.940476190476191,3.3196273063539237,21.342994831641036,12.829245827786853,0.3575828587248853,1.2150867933269094,0.6905305726941939,Gradient Boosting Regressor
13,Venttiilikuja,1.3142857142857143,2.8747822598007544,2.261904761904762,3.3957142857142864,11.136468317680315,6.761904761904761,2.5889531641956616,12.32800171508134,9.80974596808556,0.35382377816948724,0.7739308960914386,0.6089358501105305,Light Gradient Boosting Machine
14,Velodrominrinne,1.2333333333333332,2.3638374665269533,1.9523809523809523,2.9480952380952377,7.009039750906729,5.119047619047619,2.88838870477083,10.958463086676682,8.785170016200492,0.46254123520945567,0.8865180823798114,0.7322081329570534,Light Gradient Boosting Machine
15,Varsapuistikko,1.8857142857142861,5.15444640753828,3.2857142857142856,7.710000000000001,32.93696079331978,14.833333333333334,3.7033470591347113,24.669771781119234,15.728878460260258,0.3838346240248453,1.0491806812314914,0.6688027539826847,Gradient Boosting Regressor
