,Temperature,Cloud Cover,Wind Gust,Precipitation,Sea Level Pressure,Relative Humidity,Snow Depth,Wind Speed,cal_year,cal_month,cal_day,cal_hour,date
0,-3.5,7.75,8.07,0.0,1037.625,80.7,0.0,5.345000000000001,2016,1,1,0,2016-01-01 00:00:00
1,-3.255,7.625,8.425,0.0,1037.47,79.95,0.0,5.325,2016,1,1,2,2016-01-01 02:00:00
2,-3.45,7.6875,8.820000000000002,0.0,1037.73,79.35,0.0,5.49,2016,1,1,4,2016-01-01 04:00:00
3,-3.8950000000000005,7.6875,10.294999999999998,0.0,1038.1499999999999,83.95,0.0,6.24,2016,1,1,6,2016-01-01 06:00:00
4,-4.2299999999999995,7.75,9.505,0.0,1038.815,82.4,0.0,6.01,2016,1,1,8,2016-01-01 08:00:00
5,-4.365,7.5,10.105,0.0,1038.9950000000001,78.4,0.0,6.4799999999999995,2016,1,1,10,2016-01-01 10:00:00
6,-4.635,7.0625,9.795,0.0,1039.3,73.3,0.0,6.575,2016,1,1,12,2016-01-01 12:00:00
7,-4.3149999999999995,7.25,9.934999999999999,0.0,1039.8600000000001,72.55,0.0,6.44,2016,1,1,14,2016-01-01 14:00:00
8,-4.24,7.0,11.22,0.0,1040.22,73.25,0.0,7.45,2016,1,1,16,2016-01-01 16:00:00
9,-5.46,6.5,10.645,0.0,1041.33,78.6,0.0,7.15,2016,1,1,18,2016-01-01 18:00:00
10,-6.390000000000001,5.25,9.5,0.0,1042.595,79.45,0.0,6.165,2016,1,1,20,2016-01-01 20:00:00
11,-6.575,5.8125,8.395,0.0,1043.405,78.85,0.0,5.375,2016,1,1,22,2016-01-01 22:00:00
12,-6.67,6.9375,7.6,0.0,1044.2099999999998,78.8,0.0,4.88,2016,1,2,0,2016-01-02 00:00:00
13,-6.425,7.125,7.159999999999999,0.0,1044.915,75.95,0.0,4.424999999999999,2016,1,2,2,2016-01-02 02:00:00
14,-5.955,7.3125,7.715000000000001,0.0,1045.2599999999998,72.95,0.0,4.76,2016,1,2,4,2016-01-02 04:00:00
15,-5.535,7.375,9.09,0.0,1045.4199999999998,72.15,0.0,5.8149999999999995,2016,1,2,6,2016-01-02 06:00:00
16,-6.15,7.25,10.245000000000001,0.0,1046.0549999999998,79.1,0.0,6.525,2016,1,2,8,2016-01-02 08:00:00
17,-7.215000000000001,7.0625,9.219999999999999,0.0,1046.4850000000001,83.7,0.0,5.859999999999999,2016,1,2,10,2016-01-02 10:00:00
18,-7.56,7.125,6.275,0.0,1046.27,81.85,0.0,4.045,2016,1,2,12,2016-01-02 12:00:00
19,-7.080000000000001,7.125,4.67,0.0,1045.8200000000002,78.45,0.0,2.9050000000000002,2016,1,2,14,2016-01-02 14:00:00
20,-6.640000000000001,7.3125,4.065,0.0,1045.0300000000002,79.55,0.0,2.3950000000000005,2016,1,2,16,2016-01-02 16:00:00
21,-7.4,7.5,4.795,0.0,1043.855,85.95,0.0,3.2950000000000004,2016,1,2,18,2016-01-02 18:00:00
22,-8.635,6.0625,5.025,0.0,1042.205,85.9,0.0,3.3650000000000007,2016,1,2,20,2016-01-02 20:00:00
23,-9.745000000000001,5.875,4.529999999999999,0.0,1040.2849999999999,83.75,0.0,3.0900000000000007,2016,1,2,22,2016-01-02 22:00:00
24,-9.675,7.1875,5.040000000000001,0.0,1038.0399999999997,83.55,0.0,3.5300000000000002,2016,1,3,0,2016-01-03 00:00:00
25,-9.325,7.75,7.540000000000001,0.0,1035.14,83.1,0.0,5.055,2016,1,3,2,2016-01-03 02:00:00
26,-8.959999999999999,7.75,9.385,0.0,1031.39,82.7,0.0,6.294999999999999,2016,1,3,4,2016-01-03 04:00:00
27,-8.445,7.625,10.040000000000001,0.0,1027.935,81.35,0.0,6.85,2016,1,3,6,2016-01-03 06:00:00
28,-8.325,8.1875,9.180000000000001,0.3083333333333333,1025.345,87.7,0.16666666666666666,5.8950000000000005,2016,1,3,8,2016-01-03 08:00:00
29,-8.13,8.0625,8.615,0.39999999999999997,1023.195,90.4,1.3333333333333333,5.415,2016,1,3,10,2016-01-03 10:00:00
30,-7.794999999999999,6.75,6.895000000000001,0.041666666666666664,1021.47,87.8,2.0,4.4350000000000005,2016,1,3,12,2016-01-03 12:00:00
31,-7.85,7.3125,5.030000000000001,0.0,1020.11,87.2,2.0,3.255,2016,1,3,14,2016-01-03 14:00:00
32,-7.925,7.25,5.35,0.0,1019.14,87.55,1.5,3.5799999999999996,2016,1,3,16,2016-01-03 16:00:00
33,-8.45,7.125,5.5,0.0,1018.28,87.5,1.3333333333333333,3.6650000000000005,2016,1,3,18,2016-01-03 18:00:00
34,-8.815000000000001,7.125,6.260000000000001,0.0,1017.695,89.0,1.3333333333333333,4.37,2016,1,3,20,2016-01-03 20:00:00
35,-8.325,7.8125,7.545,0.225,1016.8700000000001,90.7,1.5,5.17,2016,1,3,22,2016-01-03 22:00:00
36,-5.965,7.9375,11.49,0.225,1016.5649999999999,87.6,3.3333333333333335,7.515000000000001,2016,1,4,0,2016-01-04 00:00:00
37,-5.805000000000001,7.5,11.005,0.049999999999999996,1016.9,76.6,4.083333333333333,7.095000000000001,2016,1,4,2,2016-01-04 02:00:00
38,-8.3,6.625,9.07,0.0,1017.0350000000001,83.25,4.333333333333333,6.110000000000001,2016,1,4,4,2016-01-04 04:00:00
39,-11.735,3.0625,7.710000000000001,0.0,1016.925,87.75,4.0,5.110000000000001,2016,1,4,6,2016-01-04 06:00:00
40,-12.8,4.9375,7.67,0.0,1016.3700000000001,87.9,3.6666666666666665,5.1,2016,1,4,8,2016-01-04 08:00:00
41,-11.99,1.625,7.505000000000001,0.0,1015.2150000000001,85.6,3.5833333333333335,4.955000000000001,2016,1,4,10,2016-01-04 10:00:00
42,-11.500000000000002,1.3125,7.175000000000002,0.0,1014.1049999999999,85.6,3.5833333333333335,4.75,2016,1,4,12,2016-01-04 12:00:00
43,-11.88,5.1875,7.660000000000001,0.0,1013.165,85.6,3.5833333333333335,5.055000000000001,2016,1,4,14,2016-01-04 14:00:00
44,-12.125,7.875,8.34,0.0,1012.3849999999999,85.25,3.1666666666666665,5.545,2016,1,4,16,2016-01-04 16:00:00
45,-12.969999999999999,6.4375,8.285,0.0,1011.345,84.35,3.3333333333333335,5.430000000000001,2016,1,4,18,2016-01-04 18:00:00
46,-13.925,6.9375,8.430000000000001,0.0,1010.9200000000001,83.75,3.3333333333333335,5.62,2016,1,4,20,2016-01-04 20:00:00
47,-15.55,4.0625,7.840000000000002,0.0,1010.3099999999998,83.9,3.0833333333333335,5.040000000000001,2016,1,4,22,2016-01-04 22:00:00
48,-16.895000000000003,5.125,7.720000000000001,0.0,1009.55,84.15,3.25,4.875,2016,1,5,0,2016-01-05 00:00:00
49,-17.645000000000003,4.75,7.06,0.0,1009.05,83.9,3.3333333333333335,4.58,2016,1,5,2,2016-01-05 02:00:00
50,-17.96,4.875,6.855000000000001,0.0,1008.5649999999999,83.7,3.3333333333333335,4.4300000000000015,2016,1,5,4,2016-01-05 04:00:00
51,-18.5,5.1875,7.035000000000001,0.0,1008.265,83.25,3.25,4.57,2016,1,5,6,2016-01-05 06:00:00
