,departure,number,departure_name,departure_latitude,departure_longitude
0,A.I. Virtasen aukio,34.83673469387755,A.I. Virtasen aukio,60.205577,24.962152
1,"Aalto-yliopisto (M), Korkeakouluaukio",217.6551724137931,"Aalto-yliopisto (M), Korkeakouluaukio",60.184312,24.826671
2,"Aalto-yliopisto (M), Tietotie",38.52873563218391,"Aalto-yliopisto (M), Tietotie",60.184987,24.820099
3,Abraham Wetterin tie,53.32203389830509,Abraham Wetterin tie,60.19270789626325,25.042580274921047
4,Agnetankuja,62.86440677966102,Agnetankuja,60.187234122757424,25.036412289626025
5,Agronominkatu,31.557377049180328,Agronominkatu,60.2340530100318,25.032857400999006
6,Ahertajantie,19.17241379310345,Ahertajantie,60.17875,24.797984
7,Alakiventie,14.661016949152541,Alakiventie,60.21985096601641,25.077470244052627
8,Albertinkatu,150.09782608695653,Albertinkatu,60.1618359,24.9368179
9,Annankatu,142.82222222222222,Annankatu,60.16345894291,24.94177084206
10,Apollonkatu,240.65217391304347,Apollonkatu,60.1760798,24.9223942
11,Arabian kauppakeskus,228.34782608695653,Arabian kauppakeskus,60.2027912,24.9666128
12,Arabiankatu,116.19565217391305,Arabiankatu,60.20649156514502,24.977079011778606
13,Arielinkatu,91.96739130434783,Arielinkatu,60.185922,24.979739
14,Asentajanpuisto,17.135593220338983,Asentajanpuisto,60.19912713758262,25.042592465753465
15,Aulangontie,19.93220338983051,Aulangontie,60.23030192663912,24.998533819860555
16,Auringonkatu,24.51086956521739,Auringonkatu,60.171548,24.731472
17,Avaruuskatu,18.119565217391305,Avaruuskatu,60.168971,24.724908
18,Baana,178.8695652173913,Baana,60.164088,24.9225658
19,Betonimies,14.475409836065573,Betonimies,60.180027,24.831804
20,Brahen kenttä,181.32608695652175,Brahen kenttä,60.1868618,24.9509168
21,Brahen puistikko,141.17391304347825,Brahen puistikko,60.1896706,24.9481024
22,Cygnaeuksenkatu,80.37078651685393,Cygnaeuksenkatu,60.174063715,24.92822758053
23,Derby Business Park,2.375,Derby Business Park,60.209017,24.835356
24,Designmuseo,90.73913043478261,Designmuseo,60.1631032,24.94596
25,Diakoniapuisto,204.8913043478261,Diakoniapuisto,60.186979,24.943358
26,Eerikinkatu,68.65217391304348,Eerikinkatu,60.1673332,24.9357851
27,Ehrenströmintie,133.45652173913044,Ehrenströmintie,60.155309,24.9591271
28,Elfvik,15.21311475409836,Elfvik,60.203852,24.8231
29,Elimäenkatu,52.858695652173914,Elimäenkatu,60.1962627,24.9476186
30,Eläinmuseo,70.6086956521739,Eläinmuseo,60.1713589074265,24.9318975121428
31,Erottajan aukio,47.56521739130435,Erottajan aukio,60.166890083486,24.9442610720753
32,Eränkävijäntori,37.60344827586207,Eränkävijäntori,60.204561663649095,25.033597412211737
33,Esterinportti,112.69565217391305,Esterinportti,60.1975724,24.9267808
34,Eteläesplanadi,180.3,Eteläesplanadi,60.16723083051,24.94746581951
35,Eteläinen Hesperiankatu,169.6304347826087,Eteläinen Hesperiankatu,60.17558787407832,24.915662751685453
36,Etuniementie,17.652173913043477,Etuniementie,60.160645,24.724835
37,Fleminginkatu,152.77173913043478,Fleminginkatu,60.1895417,24.9521601
38,Friisilänaukio,24.50574712643678,Friisilänaukio,60.162842,24.721367
39,Gallen-Kallelan tie,43.63157894736842,Gallen-Kallelan tie,60.206142,24.840699
40,Gebhardinaukio,68.8913043478261,Gebhardinaukio,60.190857,24.956262
41,Golfpolku,18.471264367816094,Golfpolku,60.168143,24.796136
42,Gransinmäki,4.8133333333333335,Gransinmäki,60.222154,24.804898
43,Gunillantie,26.983050847457626,Gunillantie,60.171980271468335,25.032968849816825
44,Gyldenintie,164.80434782608697,Gyldenintie,60.1583842,24.8766658
45,Haagan tori,60.45762711864407,Haagan tori,60.21227524113252,24.89955113635681
46,Haakoninlahdenkatu,17.627118644067796,Haakoninlahdenkatu,60.16886855835367,25.020860955309665
47,Haapaniemenkatu,102.90217391304348,Haapaniemenkatu,60.1831601181109,24.9551952848703
48,Hagalundinpuisto,3.23728813559322,Hagalundinpuisto,60.18363,24.817403
49,Hakalehto,44.3448275862069,Hakalehto,60.173567,24.79139
50,Hakaniemi (M),224.6086956521739,Hakaniemi (M),60.17810631604,24.95218124892
