Name,Lat,Lon,Type, Year,Node_index
Helsinki Central Library,60.174171922041815,24.938193932394334,Building,2019,3237856912
Amos Rex,60.168333,24.937222, Building,2018,7687786267
Helsinki Olympic Stadium,60.186944,24.927222, Building,1952,1516563890
Helsinki Cathedral,60.17078324169548,24.9543409112723, Building,1800,25435218
Senate Square,60.169578115545846,24.95280102685358, Place,1800,1375809908
Vanha Kauppahalli,60.166470736436,24.952763477712736, Place,1950,314733632
Helsinki ZOO,60.174891623306735,24.98395799513956, Island,1950,1375221554
Sibelius Monument,60.181944,24.913472, Building,1967,285909677
Loyly,60.151917,24.930111, Building,2016,268940183
Suomenlinna,60.14550893570819,24.987864734619684, Island,1850,1379495241
Helsinki Market Square,60.16781940035018,24.952381618688136, Place,1850,1376320227
Temppeliaukio Church,60.17298352766533,24.92521223612681, Building,1969,162361840
Seurasaari Open-Air Museum,60.1814771877956,24.884120334395156, Island,1909,192778413
Linnanmaki Amusement Park,60.188199743871486,24.94029037189004, Place,1950,826772282
Allas Sea Pool,60.166995755772895,24.958101699166036, Place,2017,5523629762
