,station,latitude,longitude,degree_centr,in_degree_centr,out_degree_centr,betwenneess_centr,eigenvector_centr,closeness_centr,pagerank_value,Neigh_1_dist,Neigh_2_dist,Neigh_3_dist,Neigh_1_name,Neigh_2_name,Neigh_3_name,degree_centr1,in_degree_centr1,out_degree_centr1,betwenneess_centr1,eigenvector_centr1,closeness_centr1,degree_centr2,in_degree_centr2,out_degree_centr2,betwenneess_centr2,eigenvector_centr2,closeness_centr2,degree_centr3,in_degree_centr3,out_degree_centr3,betwenneess_centr3,eigenvector_centr3,closeness_centr3
0,A.I. Virtasen aukio,60.205577,24.962152,0.30346820809248554,0.1445086705202312,0.15895953757225434,0.0008335069504803001,0.030114323398460346,0.4859550561797753,0.0019668096760544836,0.3964217783541033,0.39690360949626186,0.6510608839237214,Intiankatu,Arabian kauppakeskus,Sofianlehdonkatu,0.6936416184971098,0.34393063583815026,0.3497109826589595,0.008118462623132644,0.07135772520656289,0.5448818897637795,0.8265895953757225,0.42774566473988435,0.3988439306358381,0.0157573895856511,0.09018476404687899,0.5884353741496599,0.3988439306358381,0.19942196531791906,0.19942196531791906,0.0002708402400145608,0.04740298869240821,0.497841726618705
1,Agronominkatu,60.2340530100318,25.032857400999006,0.13005780346820808,0.06647398843930635,0.06358381502890173,0.0015700814536351948,0.004900052699865662,0.40279394644935973,0.0016156357816441657,0.723599860672098,0.7861832288907045,1.250392943559041,Von Daehnin katu,Viikin normaalikoulu,Pihlajamäki,0.06069364161849711,0.028901734104046242,0.031791907514450865,9.565716061507848e-05,0.0016211455607901067,0.38963963963963966,0.20231213872832368,0.09826589595375722,0.10404624277456646,0.0042909901289286696,0.008290668800352374,0.4487678339818418,0.08670520231213873,0.04046242774566474,0.046242774566473986,1.591935375050542e-05,0.0035472322912284185,0.38530066815144765
2,Apollonkatu,60.1760798,24.9223942,0.8583815028901733,0.42485549132947975,0.43352601156069365,0.0025330928428021937,0.10056963869570747,0.574750830564784,0.004642633131391466,0.3267265828808783,0.36672390460405513,0.36827196015045127,Sammonpuistikko,Töölöntori,Töölönkatu,0.7398843930635838,0.3583815028901734,0.3815028901734104,0.001228288426485896,0.0884166550066561,0.5518341307814992,0.7601156069364161,0.37572254335260113,0.38439306358381503,0.0008820652727559964,0.09421484927314677,0.5571658615136876,0.8005780346820809,0.3959537572254335,0.40462427745664736,0.0013518808949538681,0.09717553308721878,0.5616883116883117
3,Arabian kauppakeskus,60.2027912,24.9666128,0.8265895953757225,0.42774566473988435,0.3988439306358381,0.0157573895856511,0.09018476404687899,0.5884353741496599,0.0051179363830998375,0.39690360949626186,0.4782221811213128,0.5674007042435085,A.I. Virtasen aukio,Haukilahdenkatu,Intiankatu,0.30346820809248554,0.1445086705202312,0.15895953757225434,0.0008335069504803001,0.030114323398460346,0.4859550561797753,0.8583815028901733,0.4219653179190751,0.43641618497109824,0.12102456813917867,0.07441334066020823,0.6048951048951049,0.6936416184971098,0.34393063583815026,0.3497109826589595,0.008118462623132644,0.07135772520656289,0.5448818897637795
4,Arabiankatu,60.20649156514502,24.977079011778606,0.6156069364161849,0.31213872832369943,0.30346820809248554,0.004112653206128283,0.067680937753137,0.5372670807453416,0.0037804383132657247,0.3954472929731672,0.5451890455567624,0.7119289453974931,Muotoilijankatu,Intiankatu,Arabian kauppakeskus,0.16184971098265896,0.0838150289017341,0.07803468208092486,3.1626328998492205e-05,0.01756236840847753,0.4613333333333333,0.6936416184971098,0.34393063583815026,0.3497109826589595,0.008118462623132644,0.07135772520656289,0.5448818897637795,0.8265895953757225,0.42774566473988435,0.3988439306358381,0.0157573895856511,0.09018476404687899,0.5884353741496599
5,Brahen kenttä,60.1868618,24.9509168,0.8468208092485549,0.42485549132947975,0.4219653179190751,0.0035241820443710522,0.09900005992764631,0.5864406779661017,0.004720970151514663,0.3034206051370551,0.3064472136330497,0.32185613260158014,Karhupuisto,Fleminginkatu,Kustaankatu,0.7485549132947976,0.3699421965317919,0.3786127167630058,0.0012043641005751993,0.09165275950863092,0.5509554140127388,0.8554913294797687,0.42485549132947975,0.430635838150289,0.005858689980121428,0.0969595909687251,0.5844594594594594,0.6589595375722543,0.315028901734104,0.34393063583815026,0.0007169992560103858,0.0796169964591465,0.5331278890600925
6,Brahen puistikko,60.1896706,24.9481024,0.8352601156069364,0.41618497109826585,0.4190751445086705,0.00459381665532866,0.0969308439429674,0.5795644891122278,0.004651020475721244,0.22558042630556632,0.34973814271642173,0.3990267612444086,Fleminginkatu,Brahen kenttä,Diakoniapuisto,0.8554913294797687,0.42485549132947975,0.430635838150289,0.005858689980121428,0.0969595909687251,0.5844594594594594,0.8468208092485549,0.42485549132947975,0.4219653179190751,0.0035241820443710522,0.09900005992764631,0.5864406779661017,0.8121387283236994,0.40462427745664736,0.407514450867052,0.001975970992864632,0.09763262136841624,0.564437194127243
7,Diakoniapuisto,60.186979,24.943358,0.8121387283236994,0.40462427745664736,0.407514450867052,0.001975970992864632,0.09763262136841624,0.564437194127243,0.004406819057055569,0.3990267612444086,0.41960270106838526,0.42757907017839497,Brahen puistikko,Brahen kenttä,Toinen linja,0.8352601156069364,0.41618497109826585,0.4190751445086705,0.00459381665532866,0.0969308439429674,0.5795644891122278,0.8468208092485549,0.42485549132947975,0.4219653179190751,0.0035241820443710522,0.09900005992764631,0.5864406779661017,0.7601156069364161,0.37572254335260113,0.38439306358381503,0.0008733732461807667,0.09380929038897176,0.5553772070626003
8,Elimäenkatu,60.1962627,24.9476186,0.6878612716763005,0.34104046242774566,0.3468208092485549,0.0026121949439563055,0.08208292494734415,0.5562700964630225,0.0038580170699294898,0.3156959991120858,0.3858919459718,0.4057183584264114,Teollisuuskatu,Hollolantie,Venttiilikuja,0.5895953757225433,0.2861271676300578,0.30346820809248554,0.000674235016071149,0.07204107867567186,0.5242424242424243,0.4797687861271676,0.23410404624277456,0.24566473988439305,0.000660490340393548,0.05748140415254824,0.5051094890510949,0.7052023121387283,0.3468208092485549,0.3583815028901734,0.001574939944277086,0.08413964288756606,0.5536
9,Esterinportti,60.1975724,24.9267808,0.8439306358381502,0.4219653179190751,0.4219653179190751,0.010713624376372235,0.09391358418650832,0.5894378194207837,0.004801386902432235,0.20525920653304908,0.34130765175316347,0.5407361442568211,Maistraatintori,Pasilan asema,Ratapihantie,0.5722543352601156,0.28323699421965315,0.2890173410404624,0.0005380399749693709,0.07050946794155688,0.5282442748091603,0.6416184971098265,0.31213872832369943,0.32947976878612717,0.002540796412663603,0.07043861756779178,0.543171114599686,0.8005780346820809,0.39306358381502887,0.407514450867052,0.0037841882584827478,0.09324406455658497,0.5681444991789819
