,Feature,Value
5,Loyly,0.2038551810045532
23,eigenvector_centr3_Power2,0.11954993709893472
8,TOTAL_5,0.08758783506406194
17,Neigh_1_number_Power2,0.07393259392534152
12,RESTAURANTS & CAFES_2_Power2,0.07076002172068653
27,Neigh_3_number_Power2,0.05323444895800034
15,BANQUET VENUES_5,0.052170953164458654
22,BANQUET VENUES_5_Power2,0.049473012840683894
28,BARS & NIGHTLIFE_5,0.040492333434882184
9,Helsinki ZOO,0.03729642625984856
13,MUSEUMS & GALLERIES_5,0.025022650096316407
0,Seurasaari Open-Air Museum_Power2,0.024882221875608
20,SHOPPING_2,0.020990733407828116
3,SHOPPING_2_Power2,0.016973143425105655
16,NATURE & SPORTS_5,0.016864394630002937
6,betwenneess_centr1,0.016639036709769135
10,Neigh_2_dist_Power2,0.016151956285857753
26,Neigh_1_dist_Power2,0.014304348051690993
2,betwenneess_centr2,0.013210482494750278
11,betwenneess_centr3,0.011899952089213173
7,SAUNA & WELLNESS_5,0.008205481553500442
21,ACCOMMODATION_5,0.0058701568282280145
14,BANQUET VENUES_2,0.004480875915300214
24,WORK & STUDY_5,0.0044406517187099365
19,NATURE & SPORTS_2,0.004096019714485002
1,MUSEUMS & GALLERIES_2,0.003408634160370593
25,SIGHTS & ATTRACTIONS_2,0.0022680215097847702
18,MEETING PLACES_2,0.0009885870698439763
4,VENUES_2,0.0009499089921831734
