,Feature,Value
6,Loyly,0.15962151974508035
21,eigenvector_centr3_Power2,0.15300766282775952
10,TOTAL_5,0.11281048202196373
25,Neigh_2_number,0.08680003744918972
12,Neigh_1_number,0.07723917430305242
20,BANQUET VENUES_5_Power2,0.05448325935735016
11,Helsinki ZOO_Power2,0.047301211542319636
2,Neigh_2_dist,0.03931733247297392
13,MEETING PLACES_5,0.038933098288727645
0,Seurasaari Open-Air Museum_Power2,0.0369117014366688
16,MUSEUMS & GALLERIES_5,0.03661828138471372
23,BARS & NIGHTLIFE_5,0.022059346513365666
9,Neigh_1_dist,0.020018156258183314
22,WORK & STUDY_5,0.019926410714968444
4,betwenneess_centr2,0.018776478294931856
1,betwenneess_centr2_Power2,0.015866677902882757
14,betwenneess_centr3,0.015677975578666226
8,betwenneess_centr1,0.014833213336943978
7,SAUNA & WELLNESS_5,0.010415135686761156
19,ACCOMMODATION_5,0.006955174810232293
18,SHOPPING_2,0.005473985905815661
3,MUSEUMS & GALLERIES_2,0.002724228499292422
17,NATURE & SPORTS_2,0.0016017859317522171
24,WORK & STUDY_2,0.0011267241949015495
5,VENUES_2,0.0008880246004054549
15,BARS & NIGHTLIFE_2,0.0006129209410973569
