,departure_name,departure_latitude,departure_longitude
0,Kuusitie,60.1952452,24.9018997
1,Kamppi (M),60.1686095,24.9305373
2,Porolahden koulu,60.19553971683871,25.053580944057305
3,Vallipolku,60.227827,24.819614
4,Länsisatamankatu,60.1589276,24.909692
5,Radiokatu,60.20499,24.918419
6,Tyynenmerenkatu,60.156838,24.920661
7,Itämerentori,60.1635309,24.9145165
8,Koskelantie,60.208749,24.9465139
9,Rautatieläisenkatu,60.2014382,24.9332721
10,Töölönkatu,60.1775598,24.9283272
11,Roihupelto,60.209287,25.055528
12,Vilhonvuorenkatu,60.1864633,24.9678718
14,Näkinsilta,60.179765,24.9554618
15,Kiasma,60.1712579,24.9374279
16,Senaatintori,60.1691278,24.9526414
17,Olympiastadion,60.1845055,24.9249741
18,Tilkanvierto,60.1975329,24.899261
20,Rautatientori / länsi,60.1706061,24.9397601
21,Pohjankulma,60.18288,24.794014
22,Tulisuontie,60.20207298671284,25.060046596074795
24,Päijänteentie,60.1920576,24.9642238
26,Esterinportti,60.1975724,24.9267808
27,Brahen puistikko,60.1896706,24.9481024
33,Hietalahdentori,60.1622251,24.9297099
35,Kanavaranta,60.168384,24.9583814
36,Porthania,60.16986222858,24.9481463998
38,Stenbäckinkatu,60.1883091,24.9123717
39,Säterinniitty,60.214666,24.800486
40,Rautatientori / itä,60.1708236,24.9425268
41,Perämiehenkatu,60.1600875931318,24.9340656851357
42,Kapteeninpuistikko,60.1581892,24.9449274
44,Ympyrätalo,60.180863,24.9494
46,Arabian kauppakeskus,60.2027912,24.9666128
49,Viiskulma,60.1609859,24.9417758
52,Siilitie (M),60.20596244959136,25.04516115672629
54,Kansallismuseo,60.1739641,24.9329875
55,Eläinmuseo,60.1713589074265,24.9318975121428
56,Paavalinpuisto,60.1974886,24.9614385
59,Vanha Viertotie,60.21107529627341,24.881660254358646
61,Marian sairaala,60.1680998,24.9220763
62,Laivalahden puistotie,60.18795810306132,25.031385306773423
65,Laajalahden aukio,60.19793090756802,24.876221716500662
67,Korjaamo,60.1838677,24.9198371
75,Heikkilänaukio,60.1540763,24.8793159
76,Kiskontie,60.1989402,24.9012997
78,Käpyläntie,60.2139043,24.9588108
80,Ooppera,60.1825529,24.926687
81,Agnetankuja,60.187234122757424,25.036412289626025
82,Jalavatie,60.1934696,24.905889
