,date,Temperature,Cloud Cover,Wind Gust,Precipitation,Sea Level Pressure,Relative Humidity,Snow Depth,Wind Speed,cal_year,cal_month,cal_day,cal_hour,holiday,Uudenvuodenpäivä,Loppiainen,Pitkäperjantai,Pääsiäispäivä,2. pääsiäispäivä,Vappu,Helatorstai,Helluntaipäivä,Juhannusaatto,Juhannuspäivä,Pyhäinpäivä,Itsenäisyyspäivä,Jouluaatto,Joulupäivä,Tapaninpäivä
0,2021-12-04 12:00:00,-6.9,7.5,10.0,0.0,1008.0,80.0,0.0,7.847222222222221,2021,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2021-12-04 14:00:00,-7.4,7.0,10.152777777777779,0.0,1008.5,81.5,0.0,7.944444444444445,2021,12,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-12-04 16:00:00,-7.7,7.0,11.5,0.0,1010.0,83.5,0.0,9.0,2021,12,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021-12-04 18:00:00,-7.95,7.0,12.944444444444445,0.0,1011.0,85.15,0.0,10.041666666666668,2021,12,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021-12-04 20:00:00,-8.4,6.5,13.152777777777779,0.0,1012.5,86.05,0.0,10.11111111111111,2021,12,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-12-04 22:00:00,-9.0,5.0,13.5,0.0,1013.5,84.85,0.0,10.402777777777777,2021,12,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2021-12-05 00:00:00,-9.350000000000001,4.5,14.5,0.0,1015.0,83.4,0.0,11.097222222222221,2021,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021-12-05 02:00:00,-9.75,4.0,14.902777777777777,0.0,1016.0,83.3,0.0,11.347222222222221,2021,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021-12-05 04:00:00,-10.1,7.0,14.88888888888889,0.0,1016.0,83.44999999999999,0.0,11.347222222222221,2021,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2021-12-05 06:00:00,-10.4,6.5,14.944444444444445,0.0,1017.5,84.5,0.0,11.208333333333332,2021,12,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2021-12-05 08:00:00,-10.8,4.5,14.194444444444445,0.0,1019.0,84.8,0.0,10.5,2021,12,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2021-12-05 10:00:00,-11.0,4.5,13.347222222222221,0.0,1020.0,82.55,0.0,10.305555555555555,2021,12,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
