,date,Value,Prediction
0,2017-01-01,0.0,0.0
1,2017-01-02,0.0,0.0
2,2017-01-03,0.0,0.0
3,2017-01-04,0.0,0.0
4,2017-01-05,0.0,0.0
5,2017-01-06,0.0,0.0
6,2017-01-07,0.0,0.0
7,2017-01-08,0.0,0.0
8,2017-01-09,0.0,0.0
9,2017-01-10,0.0,0.0
10,2017-01-20,0.0,0.0
11,2017-01-30,0.0,0.0
12,2017-01-31,0.0,0.0
13,2017-02-01,0.0,0.0
14,2017-02-02,0.0,0.0
15,2017-02-03,0.0,0.0
16,2017-02-04,0.0,0.0
17,2017-02-05,0.0,0.0
18,2017-02-06,0.0,0.0
19,2017-02-07,0.0,0.0
20,2017-02-08,0.0,0.0
21,2017-02-09,0.0,0.0
22,2017-02-10,0.0,0.0
23,2017-02-11,0.0,0.0
24,2017-02-12,0.0,0.0
25,2017-02-13,0.0,0.0
26,2017-02-14,0.0,0.0
27,2017-02-15,0.0,0.0
28,2017-02-16,0.0,0.0
29,2017-02-17,0.0,0.0
30,2017-02-18,0.0,0.0
31,2017-02-19,0.0,0.0
32,2017-02-20,0.0,0.0
33,2017-02-21,0.0,0.0
34,2017-02-22,0.0,0.0
35,2017-02-23,0.0,0.0
36,2017-02-24,0.0,0.0
37,2017-02-25,0.0,0.0
38,2017-02-26,0.0,0.0
39,2017-02-27,0.0,0.0
40,2017-02-28,0.0,0.0
41,2017-03-01,0.0,0.0
42,2017-03-02,0.0,0.0
43,2017-03-03,0.0,0.0
44,2017-03-04,0.0,0.0
45,2017-03-05,0.0,0.0
46,2017-03-06,0.0,0.0
47,2017-03-07,0.0,0.0
48,2017-03-08,0.0,0.0
49,2017-03-09,0.0,0.0
50,2017-03-10,0.0,0.0
51,2017-03-11,0.0,0.0
52,2017-03-12,0.0,0.0
53,2017-03-13,0.0,0.0
54,2017-03-14,0.0,0.0
55,2017-03-15,0.0,0.0
56,2017-03-16,0.0,0.0
57,2017-03-17,0.0,0.0
58,2017-03-18,0.0,0.0
59,2017-03-19,0.0,0.0
60,2017-03-20,0.0,0.0
61,2017-03-21,0.0,0.0
62,2017-03-22,0.0,0.0
63,2017-03-23,0.0,0.0
64,2017-03-24,0.0,0.0
65,2017-03-25,0.0,0.0
66,2017-03-26,0.0,0.0
67,2017-03-27,0.0,0.0
68,2017-03-28,0.0,0.0
69,2017-03-29,0.0,0.0
70,2017-03-30,0.0,0.0
71,2017-03-31,0.0,0.0
72,2017-04-01,0.0,2.4396162172193137
73,2017-04-02,0.0,3.3568550071043415
74,2017-04-03,0.0,3.7137052838481472
75,2017-04-04,0.0,4.323108013835738
76,2017-04-05,0.0,2.5612562773258047
77,2017-04-06,0.0,4.947053316733131
78,2017-04-07,0.0,2.8522274636965217
79,2017-04-08,0.0,4.1882369217657915
80,2017-04-09,0.0,3.1086492142562103
81,2017-04-10,0.0,3.973130246084129
82,2017-04-11,0.0,2.8363998462929274
83,2017-04-12,0.0,3.3226361187369595
84,2017-04-13,0.0,2.8587069479974736
85,2017-04-14,0.0,1.093475970056019
86,2017-04-15,0.0,3.2378796848973193
87,2017-04-16,0.0,1.1331243504787312
88,2017-04-17,0.0,1.633451928485093
89,2017-04-18,0.0,4.487242017263728
90,2017-04-19,0.0,4.350821813464483
91,2017-04-20,0.0,3.211344073557676
92,2017-04-21,0.0,5.055853513008626
93,2017-04-22,0.0,3.339566320900959
94,2017-04-23,0.0,3.1691270159801395
95,2017-04-24,0.0,3.713673372272858
96,2017-04-25,0.0,1.8956043286601592
97,2017-04-26,0.0,2.824316626712599
98,2017-04-27,0.0,3.7123464098819654
99,2017-04-28,0.0,4.757183113745431
100,2017-04-29,0.0,2.3570668179723824
101,2017-04-30,0.0,3.4229280845437615
102,2017-05-01,0.0,5.677128674731898
103,2017-05-02,2.75,8.876987086383016
104,2017-05-03,7.333333333333333,8.92057923272587
105,2017-05-04,6.416666666666667,7.841913079066161
106,2017-05-05,7.333333333333333,9.0471576751102
107,2017-05-06,6.333333333333333,9.480116920566482
108,2017-05-07,3.9166666666666665,7.1580354380214315
109,2017-05-08,6.75,5.960541706514469
110,2017-05-09,6.416666666666667,5.732341890177527
111,2017-05-10,6.25,4.8828115672255175
112,2017-05-11,7.5,5.250259888270901
113,2017-05-12,8.333333333333334,7.5428731223498575
